title,link
"""
        88ª ExpoZebu: evento aborda o futuro da pecuária internacional
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=26&r=1684280166277&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F05%2F09%2F88a-expozebu-evento-aborda-o-futuro-da-pecuaria-internacional.ghtml&syn=False&key=7445214e4218666344b730d945d20ee2"""
"""
        Abertas as inscrições para o Prêmio Acic e Unochapecó de Sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=27&r=1684280166280&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11564581%2F&syn=False&key=73d851416dfe27e1fc1e958a6fedb76d"""
"""
        Glocal Roraima discute sustentabilidade na Amazônia
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=28&r=1684280166283&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fao-vivo%2Fglocal-roraima-discute-sustentabilidade-na-amazonia.ghtml&syn=False&key=25dc46ce017a469294faf0cfdeea75ff"""
"""
        1ª Caminhada da Sustentabilidade em Itá
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=29&r=1684280166287&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11536223%2F&syn=False&key=46bcf189b5a157c2da19a5ab753b5809"""
"""
        'Por que uns reciclam e outros não?': estudante do RS vence prêmio de matemática na Sérvia com equação sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=30&r=1684280166291&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fnoticia%2F2023%2F04%2F23%2Fpor-que-uns-reciclam-e-outros-nao-estudante-do-rs-vence-premio-de-matematica-na-servia-com-equacao-sobre-sustentabilidade.ghtml&syn=False&key=eede22118e12a5a19cc000818b366fc1"""
"""
        Bauru recebe Semana Nacional de Museus até sexta-feira
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=31&r=1684280166917&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11619660%2F&syn=False&key=e7ac17db828fded464036d8fda7d5695"""
"""
        Projeto lançado em Vilhena busca estimular desenvolvimento com sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=32&r=1684280166920&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11549823%2F&syn=False&key=952efc7fa3860883c56f79d893b6d9f0"""
"""
        PodCrescer: Bocaiúva Moda Inclusiva une inclusão e sustentabilidade em MS
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=33&r=1684280166925&u=https%3A%2F%2Fg1.globo.com%2Fms%2Fmato-grosso-do-sul%2Fespecial-publicitario%2Fsebrae-ms%2Fsebrae-e-meu-proprio-negocio%2Fnoticia%2F2023%2F04%2F17%2Fpodcrescer-bocaiuva-moda-inclusiva-une-inclusao-e-sustentabilidade-em-ms.ghtml&syn=False&key=931e1de16fa5d80f77b810af607f7c5d"""
"""
        Feira do setor de supermercados mostra a importância da sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=34&r=1684280166930&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11546209%2F&syn=False&key=f2c2faba186a151bbcdb4581629e4c6a"""
"""
        Alunos de Cruz Alta escrevem livro sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=35&r=1684280166933&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11545657%2F&syn=False&key=b1bd0afa1506824b1bc7dbb4e2782577"""
