title,link
"""
        28ª FEICOOP discute a economia solidária e sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=417&r=1684280111986&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10762904%2F&syn=False&key=105d11de9a3aefc658be2fe515e598df"""
"""
        Alimentação saudável em escolas é destaque no quadro Sustentável do BDT
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=418&r=1684280111989&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10916608%2F&syn=False&key=743a8e94c77181ba64fe26d56a7ea763"""
"""
        Estudantes do SENAI Ceará se destacam com a apresentação de projetos sustentáveis
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=421&r=1684280112539&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fespecial-publicitario%2Ffiec-federacao-das-industrias-do-estado-do-ceara%2Fa-industria-em-foco%2Fnoticia%2F2022%2F12%2F02%2Festudantes-do-senai-ceara-se-destacam-com-a-apresentacao-de-projetos-sustentaveis.ghtml&syn=False&key=d6c494a472802f8f34d139016a87bc7b"""
"""
        Exposição com fotografias de produção sustentável de alimentos em comunidade rural é aberta em MT
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=422&r=1684280112542&u=https%3A%2F%2Fg1.globo.com%2Fmt%2Fmato-grosso%2Fnoticia%2F2022%2F08%2F16%2Fexposicao-com-fotografias-da-producao-sustentavel-de-alimentos-em-comunidade-rural-e-aberta-em-mt.ghtml&syn=False&key=5c5462ce720a33c91afa96230ac75ce5"""
"""
        Projeto ensina a construir casa sustentável e de impacto social positivo
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=423&r=1684280112544&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10909861%2F&syn=False&key=cc3ea41de1c598b1110937fa4a615477"""
"""
        Emater monta protótipo de moradia rural sustentável na Expomontes
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=424&r=1684280112545&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10737688%2F&syn=False&key=4614418943dd53771d3a6c0f462a90d4"""
"""
        ONG concede crédito a pequenos agricultores para a produção de cacau sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=425&r=1684280112548&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10907650%2F&syn=False&key=4fbb24f1c7e2215f0a079b57307278ba"""
"""
        Veja como funciona um projeto de agricultura sustentável e social em Piranhas
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=426&r=1684280112549&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10804639%2F&syn=False&key=24bfe51845b68dc145add34d6523d308"""
"""
        Pequenos agricultores de Petrolina são beneficiados com projeto de desenvolvimento sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=427&r=1684280112552&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpetrolina-regiao%2Fnoticia%2F2022%2F08%2F02%2Fpequenos-agricultores-de-petrolina-sao-beneficiados-com-projeto-de-desenvolvimento-sustentavel.ghtml&syn=False&key=5db128cb324ab5062765edd07087d4d1"""
"""
        Parque Lage recebe festival de vida sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=428&r=1684280112554&u=https%3A%2F%2Fg1.globo.com%2Frj%2Frio-de-janeiro%2Frj1%2Fvideo%2Fparque-lage-recebe-festival-de-vida-sustentavel-10659949.ghtml&syn=False&key=295ef95723753c157bddb19e6b60d984"""
"""
        Alckmin diz que taxa de juros atual ‘não justifica’ e que ‘inflação não pode voltar’
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=430&r=1684280112560&u=https%3A%2F%2Fg1.globo.com%2Frj%2Frio-de-janeiro%2Fnoticia%2F2023%2F03%2F20%2Falckmin-e-mercadante-participam-de-seminario-no-bndes-no-rio.ghtml&syn=False&key=5803d563e30f1fff99de5fbd182e4524"""
"""
        Produtores rurais podem ser compensados por ações de preservação e cultivo sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=431&r=1684280112565&u=https%3A%2F%2Fg1.globo.com%2Fap%2Famapa%2Fnatureza%2Famazonia%2Fnoticia%2F2022%2F07%2F29%2Fprodutores-rurais-podem-ser-compensados-por-acoes-de-preservacao-e-cultivo-sustentavel.ghtml&syn=False&key=f003ca34a67f5f9a589ad9c17a6b10d5"""
"""
        Produção sustentável de andiroba é desenvolvida por comunitários na Flona do Tapajós
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=432&r=1684280112567&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10785817%2F&syn=False&key=abec56a7313350860514cbc220faa8fe"""
"""
        Viticultura sustentável é tema de evento em Bento Gonçalves
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=435&r=1684280112573&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10711435%2F&syn=False&key=08ef64b107232c8d6251173b5290b279"""
"""
        Em Manaus, projeto cria serviço de mobilidade corporativa sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=436&r=1684280113040&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10709998%2F&syn=False&key=cdee046ab02dc707ff461c946e92f63f"""
"""
        Morador do Oeste Paulista cria viveiro sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=437&r=1684280113044&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10631462%2F&syn=False&key=c332dff7ba173d21331030c189687850"""
"""
        Feira sustentável em Contagem desperta a atenção para o consumo consciente
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=438&r=1684280113048&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fminas-gerais%2Fbom-dia-minas%2Fvideo%2Ffeira-sustentavel-em-contagem-desperta-a-atencao-para-o-consumo-consciente-10869287.ghtml&syn=False&key=9bef6cfbee12378ef2ceea36a7c4104d"""
"""
        Voluntários constroem igreja sustentável com técnica de taipa de pilão, em Abadiânia
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=440&r=1684280113057&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2022%2F07%2F29%2Fvoluntarios-constroem-igreja-sustentavel-com-tecnica-de-taipa-de-pilao-em-abadiania.ghtml&syn=False&key=a205f1bff403b2b98a03fa1b6f727ed9"""
"""
        Selo Serra Catarinense Sustentável é lançado nesta segunda-feira (25)
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=441&r=1684280113061&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10789014%2F&syn=False&key=336d3bbfd92ddba4da412ae18e13be0e"""
"""
        Selo Serra Catarinense Sustentável é lançado nesta segunda-feira (25)
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=442&r=1684280113066&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10788427%2F&syn=False&key=130c55d76a47f9a9a673deb84db5b386"""
"""
        Selo Serra Catarinense Sustentável é lançado nesta segunda-feira (25)
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=443&r=1684280113070&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10788111%2F&syn=False&key=b69431b045a6c58bf80a4001c343d54b"""
"""
        Museu da Cidade de Manaus recebe exposição sustentável a partir desta terça
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=444&r=1684280113074&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2022%2F07%2F18%2Fmuseu-da-cidade-de-manaus-recebe-exposicao-sustentavel-a-partir-desta-terca.ghtml&syn=False&key=fbfdc5436c4ad903daed60671b5ba038"""
"""
        No Recife, trabalhar com copos e canudos de papel já é uma realidade para os comerciantes
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=447&r=1684280113114&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fespecial-publicitario%2Fpraia-limpa%2Fnoticia%2F2023%2F03%2F17%2Fno-recife-trabalhar-com-copos-e-canudos-de-papel-ja-e-uma-realidade-para-os-comerciantes.ghtml&syn=False&key=6ac6f52a9ac962ea6cc6197446393f36"""
