titulo,link
"
        Ministério do Meio Ambiente abre inscrições para evento sobre empreendedorismo sustentável em Boa Vista
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=54&r=1684280092930&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F13%2Fministerio-do-meio-ambiente-abre-inscricoes-para-evento-sobre-empreendedorismo-sustentavel-em-boa-vista.ghtml&syn=False&key=3ee6e865613b9f68dc2ef89719b0b730
"
        Pedra Branca é o primeiro município do AP a implementar manejo florestal sustentável; veja como solicitar
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=55&r=1684280092934&u=https%3A%2F%2Fg1.globo.com%2Fap%2Famapa%2Fnatureza%2Famazonia%2Fnoticia%2F2023%2F04%2F13%2Fpedra-branca-e-o-primeiro-municipio-do-ap-a-implementar-manejo-florestal-sustentavel-veja-como-solicitar.ghtml&syn=False&key=566d5c12751f69b8f780464b8b8c0a3b
"
        Tecnologia permite construção de casas e prédios mais rápida e sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=56&r=1684280092937&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11529427%2F&syn=False&key=cbab858c6c1db0ae711377160537141e
"
        Consultorias ajudam empreendedores a formatar negócio de forma sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=57&r=1684280092941&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11503346%2F&syn=False&key=b3d4bf326b8ad4182de55dc88eb92d07
"
        Inovação e desenvolvimento sustentável em pequenas propriedades
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=58&r=1684280092944&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11519253%2F&syn=False&key=91f91cbf1562a082bf1728c436ce6952
"
        Bioeconomia sustentável: projetos do Acre podem receber até R$ 1 milhão em investimento
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=59&r=1684280092948&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11538655%2F&syn=False&key=a324f16ae52523d2acb33d2b6a40c776
"
        Saiba quais são as 17 metas propostas pela ONU para o desenvolvimento sustentável do planeta
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=60&r=1684280092951&u=https%3A%2F%2Fg1.globo.com%2Fprofissao-reporter%2Fnoticia%2F2023%2F04%2F10%2Fsaiba-quais-sao-as-17-metas-propostas-pela-onu-para-o-desenvolvimento-sustentavel-do-planeta.ghtml&syn=False&key=cf7851c09a09c65bad922f119f01add7
"
        Estudantes sergipanas ganham prêmio por iniciativa sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=61&r=1684280093340&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11480719%2F&syn=False&key=1e0716a7e0a6bab2b59f97017a32a285
"
        Série 'Echos da Amazônia': Confira quais são os objetivos de desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=62&r=1684280093342&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11516321%2F&syn=False&key=7b531d741db2b26a19918ee6353c444c
"
        Projeto 'Despertar Juruti Up' inscreve jovens para oficinas de empreendedorismo sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=63&r=1684280093344&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2023%2F03%2F31%2Fprojeto-despertar-juruti-up-inscreve-jovens-para-oficinas-de-empreendedorismo-sustentavel.ghtml&syn=False&key=11fb95a6d98cb1cac2f2b112debd2f61
