title,link
"""
        Escola municipal de Ponta Grossa é modelo de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=225&r=1684280176479&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11009300%2F&syn=False&key=bd9ee720e1f55fd72c93104af9ceb383"""
"""
        Comunidade Vila Claudete, no Cabo de Santo Agostinho, é exemplo de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=226&r=1684280177497&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fne1%2Fvideo%2Fcomunidade-vila-claudete-no-cabo-de-santo-agostinho-e-exemplo-de-sustentabilidade-11130133.ghtml&syn=False&key=8ecbf2caace7104760d3dd16798fcf06"""
"""
        Feira da Sustentabilidade em Nova Friburgo, RJ
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=231&r=1684280177519&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10926468%2F&syn=False&key=5abc4fc3bea9b622b5d141563a116344"""
"""
        'Semana Nacional de Museus' tem programação gratuita em espaços culturais de Manaus
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=234&r=1684280177603&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F15%2Fsemana-nacional-de-museus-tem-programacao-gratuita-em-espacos-culturais-de-manaus.ghtml&syn=False&key=758bd4afbf574bf362891978710b279e"""
"""
        Projeto da Justiça do Trabalho alia conciliação e sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=238&r=1684280177699&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10959189%2F&syn=False&key=ee1f6af5da43b03fa4dbc2ca40f0a78b"""
"""
        Oktoberfest Blumenau espera receber 600 mil pessoas com ações de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=240&r=1684280177705&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2022%2F10%2F13%2Foktoberfest-blumenau-espera-receber-600-mil-pessoas-com-acoes-de-sustentabilidade.ghtml&syn=False&key=9dbfb084d6e89da165ed75ecd2ce7c3b"""
"""
        Pedro Cunha Lima promete investir em sustentabilidade na Paraíba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=241&r=1684280178327&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10952673%2F&syn=False&key=3ec3beeb0915368b8d2da8d3f2390430"""
"""
        Feira Pará Negócios lança programação da edição 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=242&r=1684280178329&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fnoticia%2F2023%2F05%2F15%2Ffeira-para-negocios-lanca-programacao-da-edicao-2023.ghtml&syn=False&key=1fab880eaac547940a71273490b3779e"""
"""
        Evento gastronômico reúne música, esporte e sustentabilidade no Taquaral, em Campinas
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=247&r=1684280178338&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fnoticia%2F2022%2F10%2F07%2Fevento-gastronomico-reune-musica-esporte-e-sustentabilidade-no-taquaral-em-campinas.ghtml&syn=False&key=172df5889aaeb56954c5d28e20019e4f"""
"""
        Semana em Ribeirão Preto tem várias atividades para incentivar a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=249&r=1684280178342&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11053197%2F&syn=False&key=8245225f0f7241e9739a1c3d528d9303"""
"""
        Sesc de Mogi faz feira de sustentabilidade a partir desta sexta-feira
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=250&r=1684280178344&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11070052%2F&syn=False&key=795e7725e4816d5771c17c43465503dd"""
"""
        Reciclagem de pneus traz economia e é aliada à sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=251&r=1684280178346&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10936030%2F&syn=False&key=6bf8e1a400aa1bb7a94895be3287f541"""
"""
        Oportunidade de negócios com sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=252&r=1684280178347&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10646647%2F&syn=False&key=840c357ccc8f91f3d48239ec134db059"""
"""
        Donos de pequenos negócios estão cada vez mais atentos à sustentabilidade, aponta Sebrae
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=254&r=1684280178351&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11128960%2F&syn=False&key=d8bf2e50fc9a42adf3f5943bccf7e60d"""
"""
        Futuro da Moda: sustentabilidade dá o tom da reivenção do mercado
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=256&r=1684280178765&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10964960%2F&syn=False&key=5a2d00bd07e0cfbcfbb9d869e0dc149d"""
"""
        Senador Canedo tem projeto de sustentabilidade neste sábado
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=258&r=1684280178770&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10887476%2F&syn=False&key=6e183086d20189e62160db39f114b220"""
"""
        Sustentabilidade e mineração em convergência
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=263&r=1684280178783&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fminas-gerais%2Fespecial-publicitario%2Fminas-do-amanha%2Fsustentabilidade%2Fnoticia%2F2022%2F03%2F28%2Fsustentabilidade-e-mineracao-em-convergencia.ghtml&syn=False&key=f7fa7ffca7f4a5e66113adfd0c6fec2c"""
"""
        Brechós e sebos incentivam o consumo consciente e a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=266&r=1684280178870&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10882567%2F&syn=False&key=dfe2e21e1b012dc4f523d7f131fbf7b3"""
"""
        Concurso de qualidade e sustentabilidade do Cacau começa nesta quinta (8) em Jaru, RO
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=269&r=1684280178876&u=https%3A%2F%2Fg1.globo.com%2Fro%2Frondonia%2Frondonia-rural%2Fnoticia%2F2022%2F09%2F08%2Fconcurso-de-qualidade-e-sustentabilidade-do-cacau-comeca-nesta-quinta-8-em-jaru-ro.ghtml&syn=False&key=ea7ab942d83e839ccb2608691bb52884"""
"""
        Usina solar do Sicredi evita emissão de 24 mil toneladas de poluentes
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=270&r=1684280178878&u=https%3A%2F%2Fg1.globo.com%2Fmt%2Fmato-grosso%2Fespecial-publicitario%2Fsicredi%2Fsicredi-ouro-verde-mt%2Fnoticia%2F2023%2F03%2F22%2Fusina-solar-do-sicredi-evita-emissao-de-24-mil-toneladas-de-poluentes.ghtml&syn=False&key=fe9ac3186ce2fedc410e76df6f83872b"""
"""
        Rock in Rio por um mundo melhor: quais as ações de sustentabilidade do festival?
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=271&r=1684280179382&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fmusica%2Frock-in-rio%2F2022%2Fnoticia%2F2022%2F08%2F29%2Frock-in-rio-por-um-mundo-melhor-quais-as-acoes-de-sustentabilidade-do-festival.ghtml&syn=False&key=ed6e8143e024ecb77b0e3a7b4868c663"""
"""
        Em SP, Alckmin reforça busca por acordos comerciais na América Latina: 'temos que começar pelos vizinhos'
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=274&r=1684280179396&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fnoticia%2F2023%2F05%2F15%2Fem-sp-alckmin-reforca-busca-por-acordos-comerciais-na-america-latina-temos-que-comecar-pelos-vizinhos.ghtml&syn=False&key=51e724aff25d200af4ab367bf808e99c"""
"""
        Projeto oferece oficina para ajudar contribuintes na declaração do Imposto de Renda
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=278&r=1684280179425&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fnoticia%2F2023%2F03%2F21%2Fprojeto-oferece-oficina-para-ajudar-contribuintes-na-declaracao-do-imposto-de-renda.ghtml&syn=False&key=c4387d0e06854339a17831ed7b9885d2"""
"""
        Desafios da sustentabilidade em Minas Gerais
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=279&r=1684280179429&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fminas-gerais%2Fespecial-publicitario%2Fminas-do-amanha%2Fsustentabilidade%2Fnoticia%2F2022%2F03%2F14%2Fdesafios-da-sustentabilidade-em-minas-gerais.ghtml&syn=False&key=7d6287c6ca9f26c48e9e267001cc5247"""
"""
        Psol e Rede Sustentabilidade realizam convenção em Belém
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=281&r=1684280179438&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10824050%2F&syn=False&key=cf8e51f11c334e7258b01320035e4df6"""
"""
        Alunos de uma escola de Angatuba participam de aula sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=282&r=1684280179442&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10880800%2F&syn=False&key=4a80582b0c0bd44b7a8788d1a9b49707"""
"""
        Estratégias de sustentabilidade em SC
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=287&r=1684280180103&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10442560%2F&syn=False&key=6dc1727f69d85cc1c1f3fe7d7cb6859a"""
"""
        Usina sucroalcooleira tem ações de sustentabilidade em Narandiba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=288&r=1684280180106&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10785845%2F&syn=False&key=ce58b1fb319efa41820ec24d0feb85db"""
"""
        Sustentabilidade da cadeia produtiva do algodão, soja e milho é destaque no ‘Boletim Agro’
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=290&r=1684280180114&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10934779%2F&syn=False&key=067d71869fae0f8b44d7904d43dcefe0"""
"""
        Semana Mundial de Limpeza movimenta atividades de sustentabilidade em Presidente Prudente
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=292&r=1684280180122&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10931080%2F&syn=False&key=9ece4ea6c8f4a17953b3fe4ca5e23159"""
"""
        Globo adere ao Pacto Global de sustentabilidade da ONU
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=294&r=1684280180150&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10760255%2F&syn=False&key=79da064e79fd539a50f4ee2de4d80f9b"""
"""
        Minas do Amanhã - Sustentabilidade 2
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=297&r=1684280180160&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10363642%2F&syn=False&key=f47745e900a405bbb8ce3ac5b0b96c6d"""
"""
        Liceu de Ofícios abre inscrições pra 4 cursos
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=304&r=1684280180804&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11515611%2F&syn=False&key=3eda569615256203524d5852999e7192"""
"""
        Feira de Ciência, Sustentabilidade e Inovação é realizada em Balsas
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=307&r=1684280180872&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10711197%2F&syn=False&key=a7a8d72bdc485fc5222445c1e724c593"""
"""
        Ministério do Meio Ambiente oferece cursos gratuitos de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=309&r=1684280180876&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10676795%2F&syn=False&key=0facd82fd2a159679c84a2dab29596a2"""
"""
        Conferência debate uso da tecnologia a favor da sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=312&r=1684280180971&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10693273%2F&syn=False&key=63098c0a0cf715e4d4bffdf79fdf3a33"""
"""
        Telha geradora de energia e solo que respira: do custo a economias, conheça casa referência nacional de sustentabilidade em Piracicaba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=313&r=1684280180974&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpiracicaba-regiao%2Fnoticia%2F2022%2F09%2F04%2Ftelha-geradora-de-energia-e-solo-que-respira-do-custo-a-economias-conheca-casa-referencia-nacional-de-sustentabilidade-em-piracicaba.ghtml&syn=False&key=0ea9550ac780fdc6c9d8295e2a585628"""
"""
        Sustentabilidade transforma empresas de pequenos negócios por meio da moda
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=314&r=1684280180976&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10663939%2F&syn=False&key=0226d999fd53f4da9f1e9f2de8738d32"""
"""
        Oktoberfest tem plano de sustentabilidade em Blumenau
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=316&r=1684280181535&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10500125%2F&syn=False&key=1776bb62ae553e0af114f449bb7c0640"""
"""
        Lins: Pano de fundo da grosseria de Guedes com a França é o desprezo pela sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=317&r=1684280181538&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fglobonews-em-pauta%2Fvideo%2Flins-pano-de-fundo-da-grosseria-de-guedes-com-a-franca-e-o-desprezo-pela-sustentabilidade-10838643.ghtml&syn=False&key=0ac165ad6de7ac3c921db3049aa0579a"""
"""
        Projeto de compostagem de Teresina é premiado em evento de sustentabilidade da ONU, na Polônia
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=318&r=1684280181543&u=https%3A%2F%2Fg1.globo.com%2Fpi%2Fpiaui%2Fnoticia%2F2022%2F06%2F30%2Fprojeto-de-compostagem-de-teresina-e-premiado-em-evento-da-onu-na-polonia-nesta-quinta-feira-30.ghtml&syn=False&key=4078c4a018a2c1dcae3f20273f80ec76"""
"""
        Sustentabilidade e qualidade acima de tudo: João Portugal Ramos recebe certificação pela produção sustentável
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=319&r=1684280181548&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fporto-a-porto%2Fguia-do-vinho-e-da-gastronomia%2Fnoticia%2F2022%2F06%2F24%2Fsustentabilidade-e-qualidade-acima-de-tudo-joao-portugal-ramos-recebe-certificacao-pela-producao-sustentavel.ghtml&syn=False&key=f4bae97e10c0292ab33c79391cc7f510"""
"""
        Projeto promove sustentabilidade na produção de cafés em áreas indígenas
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=322&r=1684280181560&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10657984%2F&syn=False&key=891e173a16185d31cd86e2d5a47ba642"""
"""
        Compartilhando: pedágio solidário, castração social e sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=325&r=1684280181571&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10527692%2F&syn=False&key=0c2c343e528d039196f9d34473e091b0"""
"""
        São Paulo recebe o Green Nation - festival interativo de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=328&r=1684280181583&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10742936%2F&syn=False&key=26f4c7ff8306d0bb5875b5eba0360c2a"""
"""
        Rede Sustentabilidade retira candidatura de Lucas Abrahão ao governo do Amapá
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=331&r=1684280182451&u=https%3A%2F%2Fg1.globo.com%2Fap%2Famapa%2Feleicoes%2F2022%2Fnoticia%2F2022%2F06%2F25%2Frede-sustentabilidade-retira-candidatura-de-lucas-abrahao-ao-governo-do-amapa.ghtml&syn=False&key=72fc131a72e4a7a4db0b98903f8940f7"""
"""
        Globo assina Pacto Global da ONU e lança 1º relatório de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=336&r=1684280182472&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fjornal-das-dez%2Fvideo%2Fglobo-assina-pacto-global-da-onu-e-lanca-1o-relatorio-de-sustentabilidade-10760119.ghtml&syn=False&key=49fb05be2cd6a528f234800afe81aaa2"""
"""
        Como CLT e agroecologia viraram propaganda do 'made in Brazil' na Europa
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=340&r=1684280182488&u=https%3A%2F%2Fg1.globo.com%2Ftrabalho-e-carreira%2Fnoticia%2F2023%2F03%2F30%2Fcomo-clt-e-agroecologia-viraram-propaganda-do-made-in-brazil-na-europa.ghtml&syn=False&key=4961bbaa3d1f73a34d1ebd32f8aaef50"""
