titulo,link
"
        Ministério do Meio Ambiente realiza evento sobre inovação e empreendedorismo sustentável em Boa Vista
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=24&r=1684280854400&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F05%2F05%2Fministerio-do-meio-ambiente-realiza-evento-sobre-inovacao-e-empreendedorismo-sustentavel-em-boa-vista.ghtml&syn=False&key=863e67af00368797d8985fefe3d7ae53
"
        Entrevista com Ernesto Polcuch, diretor de Ciência da Unesco para América Latina e Caribe
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=25&r=1684280854402&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fespecial-de-domingo%2Fvideo%2Fentrevista-com-ernesto-polcuch-diretor-de-ciencia-da-unesco-para-america-latina-e-caribe-11617125.ghtml&syn=False&key=539249cd2ea142cb1a44a71fb23fbb64
"
        Aeroporto Regional da Zona da Mata é o primeiro do Brasil a receber selo internacional de construção sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=26&r=1684280854404&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fzona-da-mata%2Fnoticia%2F2023%2F05%2F07%2Faeroporto-regional-da-zona-da-mata-e-o-primeiro-do-brasil-a-receber-selo-internacional-de-construcao-sustentavel.ghtml&syn=False&key=3026708ebc6b195d6a02720609e87db5
"
        Rota do butiá, criada por gaúchos, ajuda a preservar palmeira nativa ameaçada de extinção
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=27&r=1684280854405&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fglobo-rural%2Fnoticia%2F2023%2F05%2F14%2Frota-do-butia-criada-por-gauchos-ajuda-a-preservar-palmeira-nativa-ameacada-de-extincao.ghtml&syn=False&key=48cc8c9fbb8ce1623c325b6df5bec28a
"
        Turismo sustentável é debatido em Natal
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=28&r=1684280854466&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11573488%2F&syn=False&key=16bf981e2c77e8a52ec8ecc2904b1af9
"
        Governo disponibiliza Plano de Desenvolvimento Socioeconômico Sustentável do Acre
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=29&r=1684280854468&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11583984%2F&syn=False&key=2dd8a5ead29b56eea5a8c2c5db14d881
"
        Estudantes desenvolvem projeto de tintas sustentáveis a partir de materiais recicláveis em Suzano
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=30&r=1684280854470&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Fnoticia%2F2023%2F04%2F11%2Festudantes-desenvolvem-projeto-de-tintas-sustentaveis-a-partir-de-materiais-reciclaveis-em-suzano.ghtml&syn=False&key=3c13ed8d2c9d6eb44277575143937987
"
        Segunda edição da ExpoAmazônia Bio&Tic é lançada em Manaus
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=31&r=1684280854986&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F11%2Fsegunda-edicao-da-expoamazonia-bioandtic-e-lancada-em-manaus.ghtml&syn=False&key=b9fd2828641e53099831c7010aa394af
"
        SESI e Fundação Parque Tecnológico da Paraíba lançam cartilha com orientações nutricionais
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=32&r=1684280854990&u=https%3A%2F%2Fg1.globo.com%2Fpb%2Fparaiba%2Fespecial-publicitario%2Ffiep%2Fespaco-da-industria%2Fnoticia%2F2023%2F05%2F12%2Fsesi-e-fundacao-parque-tecnologico-da-paraiba-lancam-cartilha-com-orientacoes-nutricionais.ghtml&syn=False&key=7cc03f21691dde0975b464b37eb79aa9
"
        Fernando de Noronha quer reduzir dependência de alimentos que ilha tem do continente; saiba como
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=33&r=1684280854995&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fblog%2Fviver-noronha%2Fpost%2F2023%2F05%2F11%2Ffernando-de-noronha-quer-reduzir-dependencia-de-alimentos-que-ilha-tem-do-continente-saiba-como.ghtml&syn=False&key=b1a70d610f81fcadcbd9b740bbcfee47
"
        Hospital recebe recertificação como signatário do Movimento de Objetivos de Desenvolvimento Sustentável (ODS)
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=34&r=1684280855000&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Fgrupo-ezos%2Fgrupo-ezos%2Fnoticia%2F2023%2F04%2F25%2Fhospital-recebe-recertificacao-como-signatario-do-movimento-de-objetivos-de-desenvolvimento-sustentavel-ods.ghtml&syn=False&key=c2643ed07771446130a0f5602ecaa10c
"
        Estudantes de Suzano desenvolvem projeto de tintas sustentáveis com materiais recicláveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=35&r=1684280855006&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11524340%2F&syn=False&key=d721eae38e7e80e934b4b567b67ee1e5
"
        Atrasada 7 anos, revisão do Plano Diretor de Capivari começa a ser discutida com foco em enchentes e desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=36&r=1684280855010&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpiracicaba-regiao%2Fnoticia%2F2023%2F05%2F03%2Fatrasada-7-anos-revisao-do-plano-diretor-de-capivari-comeca-a-ser-discutida-com-foco-em-enchentes-e-desenvolvimento-sustentavel.ghtml&syn=False&key=9f3e11d0b20d09f24824d1a12b732682
"
        88ª ExpoZebu dará destaque para pecuária sustentável, carne e carbono
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=37&r=1684280855046&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F04%2F27%2F88a-expozebu-dara-destaque-para-pecuaria-sustentavel-carne-e-carbono.ghtml&syn=False&key=0b8ae27e5bc3eea039d6723e832aaf7d
"
        Desmatamento da Amazônia pode provocar perdas estimadas em US$ 317 bilhões por ano, afirma Banco Mundial
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=38&r=1684280855051&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2023%2F05%2F09%2Fdesmatamento-da-amazonia-pode-provocar-perdas-estimadas-em-us-317-bilhoes-por-ano-afirma-banco-mundial.ghtml&syn=False&key=6c6aa0285bf76e8753dd819218f01f4b
"
        Evento de moda sustentável é realizado em São Luís
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=39&r=1684280855055&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11560164%2F&syn=False&key=f1f53f325cce20b6ae31edae0d2afc34
"
        Educação ambiental leva à construção de práticas sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=40&r=1684280855059&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fvale-do-paraiba-regiao%2Fespecial-publicitario%2Funitau%2Funiversidade-do-futuro-unitau%2Fnoticia%2F2023%2F03%2F17%2Feducacao-ambiental-leva-a-construcao-de-praticas-sustentaveis.ghtml&syn=False&key=af73062d810ac8317280d9d65c8d59b1
"
        Fábricas de sapato de Franca investem na produção de modelos sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=41&r=1684280855062&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11480416%2F&syn=False&key=90d8962e09e4c105b9e5a19d57d6eb8b
"
        Agrofloresta é alternativa sustentável para produção rural
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=42&r=1684280855066&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11556579%2F&syn=False&key=d11b9d00d97cbc052860e9f1bc872098
"
        Mais Sustentável explica como deve ser a poda e o corte das árvores
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=43&r=1684280855070&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11566770%2F&syn=False&key=251c8023be4a6a770f78fdc9f8628d5b
"
        Agrofloresta é alternativa sustentável para a produção rural
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=44&r=1684280855074&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555728%2F&syn=False&key=542365a0cca20dabdd42e61255ad26b9
"
        Estudantes expõem ideias sustentáveis em feira de ciências em SP
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=45&r=1684280855078&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11475040%2F&syn=False&key=f85bd98691160fd14ef8e73ed14246b5
"
        Lodo de esgoto se mostra uma opção sustentável na fertilização; entenda
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=46&r=1684280855833&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555456%2F&syn=False&key=242637ba17acc49c44e0bf2e41c621df
"
        Flores secas é tendência sustentável de decorações e homenagens
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=47&r=1684280855837&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11553861%2F&syn=False&key=6994c8b9929b22c40197c97709fe8772
"
        Tênis feito de plástico dos oceanos, celular com metais reutilizados: veja lista com pegada sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=48&r=1684280855841&u=https%3A%2F%2Fg1.globo.com%2Fespeciais%2Fguia-de-compras%2Ftenis-feito-de-plastico-dos-oceanos-celular-com-metais-reutilizados-veja-lista-com-pegada-sustentavel.ghtml&syn=False&key=5f710dd0d911a444879b017f45b07576
"
        Confira as principais tendências sustentáveis para o futuro
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=49&r=1684280855845&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Ftop-sun%2Ftop-sun-energia-solar%2Fnoticia%2F2023%2F03%2F08%2Fconfira-as-principais-tendencias-sustentaveis-para-o-futuro.ghtml&syn=False&key=904b2984fcf9f6826c0bbb57032766f1
"
        Dicas de Leitura: 'Cartilha Agroecológica' tem informações sobre esse sistema de produção
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=50&r=1684280855914&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11616278%2F&syn=False&key=f2813dcdf3ab21dbfb1c57b222620d9a
